Date,True_production,Forecast
2021-01-16_14,0.0,1.281927
2021-01-16_15,0.0,0.0
2021-01-16_16,0.0,0.4253596
2021-01-16_17,0.0,2.837774
2021-01-16_18,0.0,5.7076473
2021-01-16_19,0.0,5.0861874
2021-01-16_20,0.0,4.640753
2021-01-16_21,0.0,4.5747128
2021-01-16_22,0.0,4.8313046
2021-01-16_23,0.0,5.371771
2021-01-17_0,0.0,5.238409
2021-01-17_1,0.0,1.2327937
2021-01-17_2,0.0,0.0
2021-01-17_3,0.0,0.0
2021-01-17_4,0.0,0.0
2021-01-17_5,0.0,0.0
2021-01-17_6,0.0,0.3640803
2021-01-17_7,0.0,7.4914303
2021-01-17_8,0.0,67.11845
2021-01-17_9,0.0,32.56827
2021-01-17_10,0.0,34.661137
2021-01-17_11,0.0,17.767523
2021-01-17_12,0.0,16.583197
2021-01-17_13,0.0,25.94773
2021-01-17_14,0.0,24.454107
2021-01-17_15,0.0,7.2926083
2021-01-17_16,0.0,2.5665338
2021-01-17_17,0.0,4.4042416
2021-01-17_18,0.0,5.948187
2021-01-17_19,0.0,4.6364803
2021-01-17_20,0.0,3.662359
2021-01-17_21,0.0,3.6968439
2021-01-17_22,0.0,4.231756
2021-01-17_23,0.0,4.6525936
2021-01-18_0,0.0,5.34754
2021-01-18_1,0.0,1.3560237
2021-01-18_2,0.0,0.0
2021-01-18_3,0.0,0.0
2021-01-18_4,0.0,0.0
2021-01-18_5,0.0,0.0
2021-01-18_6,0.0,0.0
2021-01-18_7,0.0,4.4649105
2021-01-18_8,0.0,51.554295
2021-01-18_9,1.3400000000000318,42.95505
2021-01-18_10,6.67999999999995,42.836674
2021-01-18_11,14.800000000000011,63.242283
2021-01-18_12,27.49000000000001,78.537544
2021-01-18_13,17.870000000000005,66.85905
2021-01-18_14,9.240000000000009,15.187902
2021-01-18_15,0.6100000000000136,0.0
2021-01-18_16,0.0,0.0
2021-01-18_17,0.0,1.9231623
2021-01-18_18,0.0,4.97254
2021-01-18_19,0.0,4.2656918
2021-01-18_20,0.0,4.0690365
2021-01-18_21,0.0,4.338934
2021-01-18_22,0.0,5.781988
2021-01-18_23,0.0,6.4402523
2021-01-19_0,0.0,6.2169857
2021-01-19_1,0.0,1.1714534
2021-01-19_2,0.0,0.0
2021-01-19_3,0.0,0.0
2021-01-19_4,0.0,0.0
2021-01-19_5,0.0,0.0
2021-01-19_6,0.0,0.0
2021-01-19_7,0.0,4.1835384
2021-01-19_8,0.0,41.782413
2021-01-19_9,0.0,24.572851
2021-01-19_10,0.0,30.636816
2021-01-19_11,0.0,11.14292
2021-01-19_12,0.0,1.8432673
2021-01-19_13,0.0,12.223852
2021-01-19_14,0.0,1.5750788
