,Index,Data,Hour,Energy,Solar_position,Solar_height,Cloud,UV_Index,Temperature,Precip,Humidity
0,2020-02-01_0,2020-02-01,0,0.0,1.556967998398051,-57.56789861073746,98.0,1,4,0.1,89
1,2020-02-01_1,2020-02-01,1,0.0,27.176389502688952,-55.13187706009543,98.0,1,4,0.0,89
2,2020-02-01_2,2020-02-01,2,0.0,48.50789319555714,-49.15492480958432,99.0,1,5,0.0,90
3,2020-02-01_3,2020-02-01,3,0.0,65.2877060058842,-41.02619061966672,100.0,1,5,0.0,90
4,2020-02-01_4,2020-02-01,4,0.0,78.94936100837285,-31.80589072285174,88.0,1,5,0.0,91
5,2020-02-01_5,2020-02-01,5,0.0,90.85359204662169,-22.160244883492044,85.0,1,4,0.0,91
6,2020-02-01_6,2020-02-01,6,0.0,101.98106169307651,-12.536775213136512,99.0,1,4,0.0,92
7,2020-02-01_7,2020-02-01,7,0.0,113.04198905651494,-3.29899762280698,100.0,1,5,0.0,91
8,2020-02-01_8,2020-02-01,8,22.13,124.58677512219444,5.34680933645422,99.0,2,5,0.0,91
9,2020-02-01_9,2020-02-01,9,171.33,137.04369518287228,12.604577003740523,99.0,2,6,0.0,90
10,2020-02-01_10,2020-02-01,10,484.35,150.6703025922699,18.309375306901227,96.0,2,7,0.0,88
11,2020-02-01_11,2020-02-01,11,727.85,165.43024375931617,21.937681925227768,95.0,2,7,0.0,87
12,2020-02-01_12,2020-02-01,12,1491.45,180.88950921117333,23.102979914449072,95.0,2,8,0.0,85
13,2020-02-01_13,2020-02-01,13,982.55,196.307938440172,21.666728736437253,95.0,2,8,0.0,85
14,2020-02-01_14,2020-02-01,14,1107.06,210.96532245095563,17.79922176093261,95.0,2,8,0.0,86
15,2020-02-01_15,2020-02-01,15,215.95,224.4705462831026,11.906163030608154,95.0,2,8,0.0,87
16,2020-02-01_16,2020-02-01,16,13.37,236.8255996724672,4.527299130300161,95.0,2,7,0.0,86
